current,R,G,B
0.014597,0.396,0.639,0.639
0.004785,0.639,0.639,0.000
0.004808,0.000,0.396,0.639
0.016186,0.396,0.639,0.639
0.003912,0.639,0.000,0.639
0.001752,0.396,0.000,0.396
0.001390,0.000,0.000,0.396
0.007835,0.639,0.396,0.396
0.001395,0.396,0.000,0.000
0.003959,0.639,0.639,0.000
0.013858,0.396,0.639,0.639
0.001841,0.396,0.000,0.396
0.001488,0.396,0.000,0.000
0.001884,0.396,0.396,0.000
0.002545,0.639,0.396,0.000
0.015281,0.639,0.396,0.639
0.008820,0.396,0.396,0.639
0.026284,0.639,0.639,0.396
0.004307,0.639,0.639,0.000
0.045648,0.639,0.639,0.639
0.004695,0.000,0.639,0.396
0.002570,0.639,0.000,0.396
0.005184,0.000,0.639,0.396
0.003689,0.396,0.396,0.396
0.002485,0.639,0.000,0.396
0.004657,0.639,0.639,0.000
0.001664,0.639,0.000,0.000
0.007610,0.000,0.639,0.639
0.014933,0.396,0.639,0.639
0.003964,0.639,0.000,0.639
0.002472,0.639,0.000,0.396
0.006851,0.396,0.639,0.396
0.047710,0.639,0.639,0.639
0.001476,0.396,0.000,0.000
0.002428,0.396,0.000,0.639
0.025606,0.639,0.639,0.396
0.049550,0.639,0.639,0.639
0.001241,0.396,0.000,0.000
0.004236,0.000,0.396,0.639
0.002712,0.639,0.000,0.396
0.001592,0.639,0.000,0.000
0.006744,0.396,0.639,0.396
0.008757,0.396,0.396,0.639
0.001815,0.639,0.000,0.000
0.004293,0.396,0.396,0.396
0.049728,0.639,0.639,0.639
0.001901,0.396,0.396,0.000
0.001688,0.000,0.639,0.000
0.001440,0.396,0.000,0.000
0.004640,0.000,0.396,0.639
0.051335,0.639,0.639,0.639
0.002276,0.396,0.639,0.000
0.008160,0.396,0.396,0.639
0.002251,0.396,0.639,0.000
0.008658,0.396,0.396,0.639
0.001372,0.396,0.000,0.000
0.001793,0.639,0.000,0.000
0.001583,0.396,0.000,0.000
0.004184,0.639,0.000,0.639
0.002796,0.000,0.396,0.396
0.008388,0.639,0.639,0.000
0.009742,0.396,0.396,0.639
0.004186,0.396,0.396,0.396
0.007110,0.396,0.639,0.396
0.002349,0.396,0.639,0.000
0.008750,0.396,0.396,0.639
0.001299,0.396,0.000,0.000
0.026197,0.639,0.639,0.396
0.002424,0.396,0.000,0.639
0.014857,0.639,0.396,0.639
0.014552,0.639,0.396,0.639
0.006894,0.396,0.396,0.639
0.001856,0.396,0.396,0.000
0.002083,0.396,0.639,0.000
0.002618,0.396,0.000,0.639
0.001206,0.000,0.000,0.000
0.025620,0.639,0.639,0.396
0.001364,0.396,0.000,0.000
0.001446,0.000,0.396,0.000
0.004263,0.639,0.639,0.000
0.003012,0.000,0.396,0.396
0.007600,0.396,0.639,0.396
0.001920,0.000,0.639,0.000
0.001011,0.000,0.000,0.000
0.002228,0.396,0.639,0.000
0.006880,0.396,0.639,0.396
0.001770,0.639,0.000,0.000
0.001538,0.396,0.000,0.000
0.001506,0.000,0.000,0.396
0.004398,0.396,0.396,0.396
0.002545,0.639,0.000,0.396
0.007682,0.639,0.396,0.396
0.003602,0.000,0.396,0.639
0.001794,0.000,0.000,0.396
0.002597,0.396,0.000,0.639
0.007348,0.396,0.639,0.396
0.001399,0.000,0.396,0.000
0.046162,0.639,0.639,0.639
0.002319,0.639,0.396,0.000
0.001253,0.000,0.000,0.000
0.001684,0.639,0.000,0.000
0.001756,0.396,0.000,0.000
0.002343,0.396,0.639,0.000
0.002553,0.639,0.000,0.396
0.002793,0.639,0.000,0.396
0.001405,0.000,0.396,0.000
0.002758,0.639,0.000,0.396
0.001512,0.000,0.396,0.000
0.002222,0.396,0.396,0.000
0.008068,0.639,0.396,0.396
0.006055,0.000,0.639,0.639
0.002821,0.396,0.000,0.639
0.001772,0.396,0.000,0.396
0.001582,0.000,0.396,0.000
0.014723,0.396,0.639,0.639
0.013692,0.396,0.639,0.639
0.001752,0.639,0.000,0.000
0.007494,0.396,0.639,0.396
0.002618,0.639,0.396,0.000
0.001679,0.000,0.639,0.000
0.002305,0.639,0.396,0.000
0.008122,0.639,0.396,0.396
0.003549,0.396,0.396,0.396
0.046942,0.639,0.639,0.639
0.002313,0.639,0.396,0.000
0.001340,0.396,0.000,0.000
0.004033,0.639,0.000,0.639
0.001851,0.639,0.000,0.000
0.007987,0.639,0.396,0.396
0.008082,0.396,0.396,0.639
0.007484,0.396,0.639,0.396
0.044378,0.639,0.639,0.639
0.001473,0.396,0.000,0.000
0.009607,0.396,0.396,0.639
0.004016,0.396,0.396,0.396
0.006555,0.396,0.639,0.396
0.001812,0.396,0.000,0.396
0.002689,0.639,0.000,0.396
0.001656,0.396,0.000,0.396
