current,R,G,B
0.036605,0.639,0.639,0.639
0.001844,0.396,0,0.396
0.012273,0.639,0.396,0.639
0.002571,0.639,0,0.396
0.012477,0.639,0.396,0.639
0.006664,0.396,0.396,0.639
0.012040,0.396,0.639,0.639
0.038608,0.639,0.639,0.639
0.001615,0,0.396,0
0.002370,0.639,0,0.396
0.001618,0.396,0,0
0.002980,0,0.396,0.396
0.001831,0,0.639,0
0.001952,0.396,0,0.396
0.002101,0.639,0.396,0
0.001546,0,0.396,0
0.006125,0.639,0.396,0.396
0.001353,0,0,0.396
0.040523,0.639,0.639,0.639
0.002611,0.639,0.396,0
0.035457,0.639,0.639,0.639
0.001574,0,0.639,0
0.001232,0,0,0
0.011817,0.396,0.639,0.639
0.007498,0.396,0.396,0.639
0.001480,0.396,0,0
0.012238,0.639,0.396,0.639
0.019257,0.639,0.639,0.396
0.001868,0.396,0,0
0.001769,0,0.639,0
0.021685,0.639,0.639,0.396
0.002378,0.396,0,0.639
0.002550,0.639,0.396,0
0.003052,0.396,0,0.639
0.003408,0.639,0,0.639
0.002586,0.639,0,0.396
0.003462,0.639,0,0.639
0.001642,0,0.396,0
0.004006,0,0.639,0.396
0.001429,0,0.396,0
0.001814,0.396,0.396,0
0.003999,0,0.396,0.639
0.002609,0,0.396,0.396
0.038997,0.639,0.639,0.639
0.001893,0.396,0.396,0
0.036848,0.639,0.639,0.639
0.006225,0.639,0.396,0.396
0.002436,0.639,0,0.396
0.001667,0,0,0.639
0.039171,0.639,0.639,0.639
0.003813,0.639,0.639,0
0.004074,0,0.396,0.639
0.001752,0.396,0.396,0
0.036787,0.639,0.639,0.639
0.020262,0.639,0.639,0.396
0.002782,0.396,0,0.639
0.006847,0.639,0.396,0.396
0.003521,0.639,0,0.639
0.001757,0,0,0.639
0.001871,0,0,0.639
0.001845,0.396,0,0.396
0.002165,0.639,0.396,0
0.001793,0.396,0.396,0
0.006119,0.396,0.639,0.396
0.006352,0.639,0.396,0.396
0.004358,0,0.639,0.396
0.003625,0,0.639,0.396
0.005842,0.396,0.639,0.396
0.001905,0.396,0.396,0
0.001680,0.396,0,0
0.001952,0.396,0.396,0
0.005316,0,0.639,0.639
0.002030,0.396,0,0.396
0.005662,0.396,0.639,0.396
0.013682,0.639,0.396,0.639
0.001667,0,0.639,0
0.004367,0,0.639,0.396
0.002304,0.396,0.639,0
0.007066,0.396,0.396,0.639
0.001280,0,0,0
0.002367,0.639,0,0.396
0.003828,0.396,0.396,0.396
0.003674,0.639,0,0.639
0.011619,0.396,0.639,0.639
0.005286,0.396,0.639,0.396
0.007265,0.396,0.396,0.639
0.006113,0.396,0.639,0.396
0.002618,0.639,0,0.396
0.001701,0.396,0,0.396
0.002550,0,0.396,0.396
0.004179,0.639,0.639,0
0.007177,0.396,0.396,0.639
0.002242,0.396,0.639,0
0.001826,0.639,0,0
0.001670,0.639,0,0
0.001164,0,0,0
0.011671,0.396,0.639,0.639
0.005646,0.396,0.639,0.396
0.001378,0.396,0,0
0.038848,0.639,0.639,0.639
0.002474,0.639,0,0.396
0.001687,0.396,0,0.396
0.006176,0.639,0.396,0.396
0.002246,0.639,0.396,0
0.011247,0.396,0.639,0.639
0.005923,0.639,0.396,0.396
0.011366,0.396,0.639,0.639
0.007190,0.396,0.396,0.639
0.003945,0,0.639,0.396
0.003089,0.396,0.396,0.396
0.001766,0.639,0,0
0.001583,0,0,0
0.011829,0.396,0.639,0.639
0.001365,0,0,0
0.001642,0.639,0,0
0.007032,0.639,0.396,0.396
0.001922,0.396,0,0.396
0.036759,0.639,0.639,0.639
0.004091,0.639,0.639,0
0.002276,0.396,0,0.639
0.001751,0,0,0.639
0.002587,0.639,0.396,0
0.007356,0.396,0.396,0.639
0.001575,0,0,0.639
0.038956,0.639,0.639,0.639
0.002378,0.396,0,0.639
0.006157,0,0.639,0.639
0.002347,0.639,0.396,0
0.037524,0.639,0.639,0.639
0.005725,0.396,0.639,0.396
