current,R,G,B
0.298218,0.000,0.416,0.333
0.232868,0.247,0.000,0.333
0.197698,0.247,0.165,0.000
0.299922,0.498,0.416,0.000
0.245904,0.498,0.000,0.082
0.265195,0.247,0.416,0.000
0.197227,0.247,0.165,0.000
0.264142,0.498,0.165,0.000
0.153851,0.247,0.000,0.082
0.290465,0.498,0.000,0.333
0.121173,0.000,0.165,0.082
0.297039,0.000,0.416,0.333
0.231413,0.247,0.000,0.333
0.291893,0.498,0.000,0.333
0.246429,0.498,0.000,0.082
0.196515,0.247,0.165,0.000
0.119946,0.000,0.165,0.082
0.299847,0.498,0.416,0.000
0.229351,0.247,0.000,0.333
0.155151,0.247,0.000,0.082
0.230294,0.247,0.000,0.333
0.298231,0.000,0.416,0.333
0.198052,0.247,0.165,0.000
0.297804,0.000,0.416,0.333
0.289117,0.498,0.000,0.333
0.228615,0.247,0.000,0.333
0.120425,0.000,0.165,0.082
0.299247,0.498,0.416,0.000
0.250102,0.498,0.000,0.082
0.219750,0.000,0.416,0.082
0.263398,0.247,0.416,0.000
0.292286,0.498,0.000,0.333
0.156169,0.247,0.000,0.082
0.154295,0.247,0.000,0.082
0.265731,0.498,0.165,0.000
0.298690,0.000,0.416,0.333
0.261928,0.247,0.416,0.000
0.155634,0.247,0.000,0.082
0.298632,0.498,0.416,0.000
0.298730,0.000,0.416,0.333
0.298638,0.000,0.416,0.333
0.251900,0.498,0.000,0.082
0.232559,0.247,0.000,0.333
0.263448,0.247,0.416,0.000
0.231021,0.247,0.000,0.333
0.219088,0.000,0.165,0.333
0.215441,0.000,0.165,0.333
0.216521,0.000,0.165,0.333
0.229991,0.247,0.000,0.333
0.219684,0.000,0.416,0.082
0.265033,0.498,0.165,0.000
0.155875,0.247,0.000,0.082
0.196881,0.247,0.165,0.000
0.153762,0.247,0.000,0.082
0.191661,0.247,0.165,0.000
0.264897,0.498,0.165,0.000
0.156834,0.247,0.000,0.082
0.196316,0.247,0.165,0.000
0.120772,0.000,0.165,0.082
0.292435,0.498,0.000,0.333
0.298732,0.000,0.416,0.333
0.301620,0.498,0.416,0.000
0.216786,0.000,0.165,0.333
0.262268,0.247,0.416,0.000
0.217806,0.000,0.416,0.082
0.121344,0.000,0.165,0.082
0.218628,0.000,0.416,0.082
0.299629,0.498,0.416,0.000
0.210778,0.000,0.165,0.333
0.217112,0.000,0.165,0.333
0.299408,0.498,0.416,0.000
0.265882,0.498,0.165,0.000
0.245307,0.498,0.000,0.082
0.264999,0.498,0.165,0.000
0.262584,0.247,0.416,0.000
0.292159,0.498,0.000,0.333
0.198912,0.247,0.165,0.000
0.263369,0.247,0.416,0.000
0.156270,0.247,0.000,0.082
0.212308,0.000,0.165,0.333
0.197981,0.247,0.165,0.000
0.266209,0.247,0.416,0.000
0.197581,0.247,0.165,0.000
0.261953,0.247,0.416,0.000
0.267071,0.498,0.165,0.000
0.300747,0.498,0.416,0.000
0.299108,0.000,0.416,0.333
0.158745,0.247,0.000,0.082
0.153002,0.247,0.000,0.082
0.265949,0.498,0.165,0.000
0.298618,0.000,0.416,0.333
0.268010,0.498,0.165,0.000
0.291921,0.498,0.000,0.333
0.156712,0.247,0.000,0.082
0.247239,0.498,0.000,0.082
0.227342,0.247,0.000,0.333
0.298435,0.000,0.416,0.333
0.252840,0.498,0.000,0.082
0.301573,0.498,0.416,0.000
0.220331,0.000,0.416,0.082
0.219361,0.000,0.416,0.082
0.266784,0.498,0.165,0.000
0.231597,0.247,0.000,0.333
0.293795,0.498,0.000,0.333
0.293328,0.498,0.000,0.333
0.124196,0.000,0.165,0.082
0.263999,0.247,0.416,0.000
0.160022,0.247,0.000,0.082
0.300912,0.498,0.416,0.000
0.158852,0.247,0.000,0.082
0.268249,0.498,0.165,0.000
0.159023,0.247,0.000,0.082
0.214278,0.000,0.165,0.333
0.298190,0.000,0.416,0.333
0.220840,0.000,0.416,0.082
0.293056,0.498,0.000,0.333
0.218581,0.000,0.165,0.333
0.289838,0.498,0.000,0.333
0.300932,0.498,0.416,0.000
0.299036,0.000,0.416,0.333
0.200788,0.247,0.165,0.000
0.232891,0.247,0.000,0.333
0.298443,0.000,0.416,0.333
0.249409,0.498,0.000,0.082
0.266087,0.498,0.165,0.000
0.298455,0.000,0.416,0.333
0.233421,0.247,0.000,0.333
0.291081,0.498,0.000,0.333
0.266639,0.498,0.165,0.000
0.229897,0.247,0.000,0.333
0.248871,0.498,0.000,0.082
0.194405,0.247,0.165,0.000
0.292791,0.498,0.000,0.333
0.300559,0.498,0.416,0.000
0.298798,0.000,0.416,0.333
0.291862,0.498,0.000,0.333
0.292136,0.498,0.000,0.333
0.222890,0.000,0.416,0.082
0.221419,0.000,0.416,0.082
0.157051,0.247,0.000,0.082
0.216392,0.000,0.165,0.333
0.298018,0.000,0.416,0.333
0.269051,0.498,0.165,0.000
0.298505,0.000,0.416,0.333
0.219041,0.000,0.416,0.082
0.298386,0.000,0.416,0.333
0.155586,0.247,0.000,0.082
0.247286,0.498,0.000,0.082
0.220326,0.000,0.416,0.082
0.155689,0.247,0.000,0.082
0.294206,0.498,0.000,0.333
0.122932,0.000,0.165,0.082
0.230071,0.247,0.000,0.333
0.197899,0.247,0.165,0.000
0.226521,0.247,0.000,0.333
0.123586,0.000,0.165,0.082
0.300093,0.498,0.416,0.000
0.124167,0.000,0.165,0.082
0.264628,0.247,0.416,0.000
0.154029,0.247,0.000,0.082
0.300223,0.498,0.416,0.000
0.267177,0.498,0.165,0.000
0.230246,0.247,0.000,0.333
0.244935,0.498,0.000,0.082
0.199702,0.247,0.165,0.000
0.247369,0.498,0.000,0.082
0.298009,0.000,0.416,0.333
0.196737,0.247,0.165,0.000
0.297567,0.000,0.416,0.333
0.291811,0.498,0.000,0.333
0.246333,0.498,0.000,0.082
0.259330,0.247,0.416,0.000
0.229985,0.247,0.000,0.333
0.157214,0.247,0.000,0.082
0.219896,0.000,0.416,0.082
0.264369,0.247,0.416,0.000
0.216742,0.000,0.416,0.082
0.263659,0.498,0.165,0.000
0.262717,0.247,0.416,0.000
0.226345,0.247,0.000,0.333
0.291181,0.498,0.000,0.333
0.300062,0.498,0.416,0.000
0.263326,0.247,0.416,0.000
0.230443,0.247,0.000,0.333
0.199761,0.247,0.165,0.000
0.297536,0.000,0.416,0.333
0.124872,0.000,0.165,0.082
0.250897,0.498,0.000,0.082
0.299794,0.498,0.416,0.000
0.264178,0.247,0.416,0.000
0.124644,0.000,0.165,0.082
0.198181,0.247,0.165,0.000
0.228325,0.247,0.000,0.333
0.199220,0.247,0.165,0.000
0.123957,0.000,0.165,0.082
0.268883,0.498,0.165,0.000
0.158930,0.247,0.000,0.082
0.230663,0.247,0.000,0.333
0.252402,0.498,0.000,0.082
0.293421,0.498,0.000,0.333
0.269005,0.498,0.165,0.000
0.266538,0.498,0.165,0.000
0.291548,0.498,0.000,0.333
0.295775,0.498,0.416,0.000
0.298069,0.000,0.416,0.333
0.199399,0.247,0.165,0.000
0.215341,0.000,0.165,0.333
0.251788,0.498,0.000,0.082
0.217654,0.000,0.416,0.082
0.199292,0.247,0.165,0.000
0.248816,0.498,0.000,0.082
0.290963,0.498,0.000,0.333
0.216170,0.000,0.165,0.333
0.231089,0.247,0.000,0.333
0.122142,0.000,0.165,0.082
0.120755,0.000,0.165,0.082
0.217353,0.000,0.416,0.082
0.217717,0.000,0.165,0.333
0.121064,0.000,0.165,0.082
0.217455,0.000,0.165,0.333
0.156611,0.247,0.000,0.082
0.263213,0.498,0.165,0.000
0.248150,0.498,0.000,0.082
0.248110,0.498,0.000,0.082
0.121502,0.000,0.165,0.082
0.289429,0.498,0.000,0.333
0.263953,0.498,0.165,0.000
0.221221,0.000,0.416,0.082
0.233332,0.247,0.000,0.333
0.216700,0.000,0.416,0.082
0.218846,0.000,0.416,0.082
0.262586,0.247,0.416,0.000
0.289276,0.498,0.000,0.333
0.267081,0.498,0.165,0.000
0.221166,0.000,0.416,0.082
0.218582,0.000,0.416,0.082
0.122855,0.000,0.165,0.082
0.226584,0.247,0.000,0.333
0.267483,0.498,0.165,0.000
0.297915,0.000,0.416,0.333
0.122675,0.000,0.165,0.082
0.122354,0.000,0.165,0.082
0.198308,0.247,0.165,0.000
0.248948,0.498,0.000,0.082
0.263256,0.247,0.416,0.000
0.156807,0.247,0.000,0.082
0.296942,0.000,0.416,0.333
0.293434,0.498,0.000,0.333
0.264692,0.498,0.165,0.000
0.217466,0.000,0.416,0.082
0.245196,0.498,0.000,0.082
0.195939,0.247,0.165,0.000
0.246232,0.498,0.000,0.082
0.227644,0.247,0.000,0.333
0.247149,0.498,0.000,0.082
0.216371,0.000,0.165,0.333
0.120629,0.000,0.165,0.082
0.261437,0.247,0.416,0.000
0.155479,0.247,0.000,0.082
0.297070,0.000,0.416,0.333
0.220609,0.000,0.416,0.082
0.229872,0.247,0.000,0.333
0.153898,0.247,0.000,0.082
0.258572,0.247,0.416,0.000
0.261523,0.247,0.416,0.000
0.120760,0.000,0.165,0.082
0.262513,0.247,0.416,0.000
0.265099,0.498,0.165,0.000
0.215474,0.000,0.416,0.082
0.156191,0.247,0.000,0.082
0.158915,0.247,0.000,0.082
0.266716,0.498,0.165,0.000
0.232023,0.247,0.000,0.333
0.260441,0.247,0.416,0.000
0.156275,0.247,0.000,0.082
0.120599,0.000,0.165,0.082
0.260238,0.247,0.416,0.000
0.155819,0.247,0.000,0.082
0.245750,0.498,0.000,0.082
0.262285,0.247,0.416,0.000
0.298290,0.000,0.416,0.333
0.298671,0.000,0.416,0.333
0.250821,0.498,0.000,0.082
0.218962,0.000,0.416,0.082
0.220928,0.000,0.416,0.082
0.300596,0.498,0.416,0.000
0.265499,0.498,0.165,0.000
0.159237,0.247,0.000,0.082
0.297587,0.498,0.416,0.000
0.247907,0.498,0.000,0.082
